"initial_alias","converted_alias","name","description","namespace"
"RB1","ENSG00000139687","RB1","RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOTCH1","ENSG00000148400","NOTCH1","notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAMA2","ENSG00000196569","LAMA2","laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCNH2","ENSG00000055118","KCNH2","potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRCA2","ENSG00000139618","BRCA2","BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BMPR1A","ENSG00000107779","BMPR1A","bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYBPC3","ENSG00000134571","MYBPC3","myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPHA5","ENSG00000145242","EPHA5","EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBN1","ENSG00000166147","FBN1","fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCOR","ENSG00000183337","BCOR","BCL6 corepressor [Source:HGNC Symbol;Acc:HGNC:20893]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHD2","ENSG00000173575","CHD2","chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS13B","ENSG00000132549","VPS13B","vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASA1","ENSG00000145715","RASA1","RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DYSF","ENSG00000135636","DYSF","dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTOR","ENSG00000198793","MTOR","mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DMD","ENSG00000198947","DMD","dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHEX","ENSG00000102174","PHEX","phosphate regulating endopeptidase X-linked [Source:HGNC Symbol;Acc:HGNC:8918]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFHX3","ENSG00000140836","ZFHX3","zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AR","ENSG00000169083","AR","androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMAD4","ENSG00000141646","SMAD4","SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
