gene_symbol,ac_total,n_variants,ac_nmd_triggering,n_triggering,ac_nmd_evading,n_evading,ac_synonymous_nmd_triggering,ac_synonymous_nmd_evading,n_synonymous_variants_nmd_triggering,n_synonymous_variants_nmd_evading,log_odds_t1,se_log_or_t1,ci_lower_t1,ci_upper_t1,z_score_t1,p_value_t1,n_rare_t2,n_common_t2,af_split_t2,ac_rare_triggering_t2,ac_rare_evading_t2,ac_common_triggering_t2,ac_common_evading_t2,n_rare_triggering_t2,n_rare_evading_t2,n_common_triggering_t2,n_common_evading_t2,log_odds_t2,se_log_or_t2,ci_lower_t2,ci_upper_t2,z_score_t2,p_value_t2,p_value_combined,p_value_fdr_t1,p_value_fdr_t2,p_value_fdr_combined
SNAPC4,20,14,1.0,1.0,19.0,13.0,281141.0,289700.0,413.0,772.0,-2.5349598280738146,0.847322681578416,-4.19568176725141,-0.874237888896219,-2.9917289872987016,0.0027740240740532786,7,7,6.57125e-06,1,6,0,13,1,6,0,7,-1.8294997972109022,1.7013485517632458,-5.164081683816244,1.5050820893944394,-1.0753233341368191,0.28222999273299876,0.006382688132673344,0.00694966031183874,0.47277960554482457,0.015241603099427316
SNX14,16,10,15.0,9.0,1.0,1.0,6581.0,96.0,330.0,34.0,-1.8871000377034859,0.8612185733286972,-3.5750574242447,-0.1991426511622718,-2.191197561392171,0.028437499005261085,5,5,6.57246e-06,4,1,11,0,4,1,5,0,2.03688192726104,1.7250638859555374,-1.3441811602425244,5.417945014764605,1.1807573875055546,0.23769911662372423,0.04053575430838784,0.05232859072826959,,0.07498064397976405
SPAG1,34,14,32.0,13.0,2.0,1.0,186089.0,44738.0,397.0,52.0,1.139556045138745,0.65635124486847,-0.14686875601148608,2.425980846288976,1.7361984974479743,0.08252874286431656,7,7,6.57488e-06,7,0,25,2,7,0,6,1,-0.3856624808119846,1.6039167745266096,-3.52928159308379,2.7579566314598205,-0.24045043167892022,0.809981085884406,0.24769069934151422,0.12979189957075335,,0.33558094749495476
SPAG17,50,24,50.0,24.0,0.0,0.0,333500.0,5523.0,1049.0,58.0,0.5144878695665245,1.4212621233684428,-2.2711347048265464,3.3001104439595954,0.36199365416645984,0.7173567725704708,12,12,6.57402e-06,12,0,38,0,12,0,12,0,1.1249295969854831,2.0263203167253754,-2.8465852449380478,5.096444438909014,0.5551588204985379,0.5787860327169985,0.7801552567555168,0.7720664387203429,,0.8304728336313049
SPECC1L,11,11,9.0,9.0,2.0,2.0,155203.0,41260.0,206.0,329.0,0.01016953353514971,0.7108402333178792,-1.3830517225299424,1.4033907896002418,0.014306356138119742,0.9885855686861249,6,5,6.57108e-06,4,2,5,0,4,2,5,0,1.8101086078962516,1.6745269194731998,-1.4719038454140234,5.092121061206527,1.0809671596475172,0.2797117221387472,0.631977431210845,0.9885855686861249,,0.718832086702892
SPEF2,52,29,52.0,29.0,0.0,0.0,722207.0,729.0,936.0,43.0,-2.2437480545861286,1.421414719781089,-5.029669712452156,0.5421736032798989,-1.5785316019041133,0.11444353401087226,15,14,6.57791e-06,15,0,37,0,15,0,14,0,0.8835009090511642,2.022667247892971,-3.080854049527808,4.847855867630137,0.4367999283972756,0.6622564509424489,0.27131470128569185,0.16917739810302856,,0.3587383272555259
SPG11,50,30,45.0,25.0,5.0,5.0,30442.0,84857.0,1095.0,299.0,3.138097954372138,0.45148736092135183,2.2531989874912517,4.022996921253024,6.950577637363337,3.6379352369583617e-12,15,15,6.57419e-06,10,5,35,0,10,5,15,0,3.616052712116263,1.51829683894184,0.6402455899492456,6.59185983428328,2.3816506886996027,0.01723523761680821,1.9688266360752338e-12,2.9516883627139437e-11,0.10747637325789765,1.6735026406639488e-11
SPG7,74,17,72.0,15.0,2.0,2.0,51336.0,13265.0,527.0,144.0,2.01406050988878,0.6433412518094388,0.753134826573366,3.2749861932041937,3.130625471667027,0.001744344659363544,9,8,1.31415e-05,8,2,64,0,7,2,8,0,3.6360369727395563,1.5915875517207723,0.5165826931245623,6.755491252354551,2.284534689158879,0.022340126305947724,0.0004346100666066215,0.004664652010432848,0.12443835673670973,0.0014105072161687627
SPIDR,27,15,27.0,15.0,0.0,0.0,5124.0,8372.0,470.0,83.0,4.498252751629212,1.427122354947676,1.70114433439978,7.295361168858644,3.151974135948656,0.0016217063727537397,8,7,6.57583e-06,8,0,19,0,8,0,7,0,0.8303483020734302,2.041795560310968,-3.1714974599298467,4.832194064076707,0.4066755351093854,0.6842463113370363,0.008659364391198007,0.004385978599038523,0.7888238964808236,0.020139368649235757
SPINK5,42,17,42.0,17.0,0.0,0.0,1013033.0,2427.0,502.0,30.0,-1.5911913961170665,1.4226532765736892,-4.3795405806893974,1.1971577884552649,-1.1184674595831836,0.26336739679135013,9,8,1.97088e-05,13,0,29,0,9,0,8,0,0.7817005779013904,2.0268133557776897,-3.1907806028076484,4.75418175861043,0.3856796066954331,0.6997339680033132,0.49596459954916194,0.3412782600889728,,0.5971647960844885
SPTA1,40,25,40.0,25.0,0.0,0.0,972909.0,228606.0,1492.0,79.0,2.946160273019725,1.4229183954810394,0.15729146493736668,5.735029081102083,2.070505436134818,0.03840503750528551,13,12,6.5767e-06,13,0,27,0,13,0,12,0,0.7114963192281419,2.027421443715566,-3.2621766919385675,4.685169330394851,0.3509365659683534,0.7256359382616422,0.12764340723124476,0.06737394785939523,,0.19641679474807924
SSX1,21,12,21.0,12.0,0.0,0.0,7923.0,926.0,67.0,89.0,1.615025855036114,1.4309846839064715,-1.1896525878490034,4.419704297921232,1.1286115590190842,0.2590617323930149,6,6,8.98755e-06,6,0,15,0,6,0,6,0,0.8690378470236095,2.0538652056253377,-3.1564639851020044,4.894539679149224,0.42312311666968166,0.672205437206839,0.47852328635859576,0.33692181589911224,,0.5795900312013018
STAB1,62,37,62.0,37.0,0.0,0.0,786900.0,265.0,1698.0,56.0,-3.1659285119433314,1.4211853324431152,-5.951400578888421,-0.38045644499824194,-2.227667595260699,0.025902689441320983,19,18,6.57255e-06,19,0,43,0,19,0,18,0,0.8023464725249373,2.018482240949664,-3.153806023170103,4.758498968219977,0.39749989187293816,0.6909988662630454,0.08990577366276631,0.048288564650399955,,0.14689410159088134
STAG3,35,14,35.0,14.0,0.0,0.0,123853.0,51674.0,544.0,44.0,3.3885448911756164,1.4241476187686628,0.5972668497205582,6.179822932630675,2.3793494764997734,0.017343224596552125,7,7,1.31425e-05,10,0,25,0,7,0,7,0,0.8873031950009027,2.033335629332404,-3.0979614069726944,4.8725677969745,0.4363781277428493,0.6625624054648158,0.06281186239844566,0.034493209921833475,,0.10754836871100769
STK36,38,11,38.0,11.0,0.0,0.0,196614.0,32075.0,504.0,178.0,2.5306529618901816,1.4233798820104127,-0.2591203431690987,5.320426266949462,1.7779181748134816,0.07541729474219762,6,5,1.31508e-05,7,0,31,0,6,0,5,0,1.4350845252893227,2.0408526073872566,-2.564913082944363,5.435082133523009,0.7031789165443696,0.4819442565968616,0.15682412603615659,0.12073531041688139,,0.23087098142230061
STOX1,281,10,0.0,0.0,281.0,10.0,87910.0,111737.0,26.0,446.0,-6.0934465092077135,1.4154761469629062,-8.867728778230534,-3.3191642401848926,-4.3048740328701545,1.6708077851784718e-05,5,5,6.57756e-06,0,5,0,276,0,5,0,5,-3.9174627287239643,2.045833526547605,-7.927222759121839,0.09229730167391015,-1.9148492181251815,0.05551173559556041,1.3811114208794562e-05,6.627537547874605e-05,0.2004159804916878,5.733218340162394e-05
