uORF_length,PTC_AUG_dist,AUG_driven_fitness_enrichment
40,5,0.289429273472384
38,1,0.633165518529098
38,5,0.520537536602292
38,10,0.280321394198872
38,20,0.4080197728357
38,40,1.25687806789455
38,30,0.526206902747048
37,10,0.38439772167993
37,20,1.18380670476681
37,30,0.943046075410884
37,40,0.759362663120941
37,5,0.692976606106714
37,1,0.450771515320485
36,5,0.251673996025108
36,10,0.658313468850076
36,40,1.05906040442222
36,30,1.15152489417766
36,20,0.921112937221039
36,1,0.206770609128868
35,1,0.0759968346550203
35,5,-0.412161961359648
35,40,0.876234840831786
35,30,0.40512473030177
35,20,0.604265521955893
35,10,0.103211958565356
34,1,-0.475975135695221
34,5,0.814345754600998
34,10,-0.0854387725048995
34,20,0.88998370874789
34,30,0.122983141235286
34,40,0.948174153273382
33,1,0.101677255553
33,10,0.284595381869237
33,30,0.499257329740762
33,40,0.76061310417306
33,50,1.18775512109809
33,20,0.362970712589385
33,5,0.811576191371545
32,1,0.191609070487117
32,20,0.396154052879378
32,30,0.127329185683253
32,50,0.686521986457332
32,40,0.873342178426327
32,10,0.68474956290136
32,5,0.603698551151733
31,5,0.230895501706823
31,10,0.326680274193311
31,20,0.307751591888925
31,30,0.757645084662085
31,50,0.59132169195267
31,40,0.465032912874858
31,1,0.356823577202699
29,1,-0.0005621172985638
29,5,0.0414580828289847
29,10,0.543501366107097
29,20,0.267612837190675
29,30,0.178595815891511
29,50,1.10587166214924
29,40,0.271932871576231
28,1,0.342466337736969
28,5,0.356472898638119
28,20,0.189032968575627
28,30,0.362228429596417
28,50,0.77278067028817
28,40,0.805366291765634
28,10,0.461151751688333
26,1,0.0496925733346176
26,10,0.207687699528846
26,20,0.346310334525159
26,50,0.862130720138943
26,40,0.771839642692011
26,30,0.602839029277618
26,5,-0.0028277547643057
25,5,0.33785816802307
25,10,0.0605834929836255
25,50,0.60513011077709
25,40,0.397131502156409
25,30,0.631622969054574
25,20,0.208353870867345
25,1,0.154064134205373
23,1,0.0333108914504523
23,5,0.19041029561088
23,10,0.255046771709476
23,20,0.0649820047386853
23,40,0.455688789236667
23,50,0.868283196925938
23,60,0.815451440422586
23,30,0.214446977367127
21,1,0.356297133093613
21,20,0.070702557708064
21,30,-0.277859690743485
21,40,0.511790702599359
21,60,0.447983141320736
21,50,0.219754150875803
21,10,0.158553863990575
21,5,-0.13896472146182
