gene_symbol,n_ptc_triggering,n_ptc_evading,n_syn_triggering,n_syn_evading,n_variants,log_odds,se_log_or,ci_lower,ci_upper,z_score,p_value,p_value_fdr
ID3,4.0,0.0,4,9,4.0,2.9444389791664407,1.5967803863835444,-0.18519306936525792,6.074071027698139,1.843984936360053,0.06518533552275588,0.1885718634765438
JMJD1C,14.0,22.0,88,72,36.0,-0.6387826499371005,0.3721592403291207,-1.3682013574959635,0.09063605762176241,-1.716422919856001,0.08608466457878408,0.2286182895370987
KDM5C,62.0,2.0,111,45,64.0,2.322563559924932,0.6685406732903338,1.0122479180757187,3.632879201774145,3.4740796674255434,0.0005126088104917516,0.004152131364983188
KDM6A,42.0,17.0,75,33,59.0,0.07471597757694459,0.35180683377217464,-0.6148127461315873,0.7642447012854765,0.2123778460350479,0.8318122678658867,0.892407863538236
KEAP1,6.0,17.0,18,93,23.0,0.6297920001824853,0.5251078481691551,-0.39940047022838576,1.6589844705933563,1.1993574317701072,0.23038899224410048,0.42412519026754864
KMT2A,48.0,49.0,98,318,97.0,1.1531570552029677,0.2326211052171368,0.6972280669334772,1.6090860434724583,4.957233154431838,7.150414971373126e-07,1.654810321946352e-05
KMT2C,181.0,70.0,684,801,251.0,1.1034392712077865,0.1496750481962342,0.8100815673588707,1.3967969750567022,7.372232609947801,1.6779390871050787e-13,1.3591306605551138e-11
KMT2D,154.0,125.0,256,643,279.0,1.1276817001913186,0.14104345582482497,0.8512416065195956,1.4041217938630417,7.9952784310098854,1.2928137292626497e-15,2.0943582414054925e-13
LARP4B,34.0,8.0,66,31,42.0,0.6536787587108223,0.4397910774457576,-0.2082959138049284,1.515653431226573,1.486339292073166,0.13718939865279373,0.31302369833454347
LATS1,9.0,22.0,16,79,31.0,0.7101731301498722,0.4721146887118035,-0.21515465629760155,1.635500916597346,1.504238582552106,0.13251994667053074,0.30668901943751403
LZTR1,20.0,1.0,130,21,21.0,0.8116394864070671,0.8772808088790974,-0.9077993033241303,2.531078276138264,0.9251763838811198,0.35487416571815,0.5636236749641206
MAP2K4,57.0,2.0,30,16,59.0,2.5211279132223186,0.7146917168960253,1.1203578880570126,3.9218979383876245,3.527573992562582,0.0004193865275538705,0.0035758219717751064
MAP3K1,62.0,21.0,78,58,83.0,0.7730417510581868,0.3038823760999946,0.17744323836574216,1.3686402637506316,2.543884778641497,0.010962724003510395,0.05919870961895613
MBD6,5.0,10.0,19,94,15.0,0.9315582040049437,0.5821686516125193,-0.2094713860838402,2.0725877940937276,1.6001517797714941,0.10956491640950192,0.2689320675505956
MGA,60.0,25.0,94,183,85.0,1.5275797458673432,0.26791083172766467,1.0024841646129496,2.0526753271217366,5.701821520304004,1.1853390334776983e-08,3.8404984684677426e-07
MUTYH,8.0,0.0,50,10,8.0,1.2626152649383797,1.4942179005284486,-1.6659980051524326,4.191228535029192,0.8450007622662266,0.39811041344679154,0.5863080634398203
NBN,18.0,4.0,39,17,22.0,0.5995935443303974,0.5989453974406481,-0.5743178633593017,1.7735049520200965,1.0010821468743543,0.3167870954942582,0.5236684639803044
NCOR1,95.0,7.0,197,43,102.0,1.0312455806978815,0.4145555866324587,0.21873156130838822,1.8437596000873748,2.487593012736733,0.01286108179310125,0.06720952420910976
NF1,24.0,25.0,185,40,49.0,-1.5617582425486956,0.3318346070097696,-2.2121421211118464,-0.9113743639855446,-4.70643570488932,2.5208544110571876e-06,4.083784145912644e-05
NF2,51.0,3.0,55,16,54.0,1.4757961993284685,0.6194802983683336,0.26163712539440787,2.6899552732625294,2.3823133733479644,0.017204249965868022,0.0796310998420177
NOTCH1,95.0,14.0,328,176,109.0,1.2637616365088422,0.2968949036947347,0.6818583180736744,1.84566495494401,4.256595922603755,2.0756300520231434e-05,0.00024018004887696372
NOTCH2,37.0,18.0,173,71,55.0,-0.17990994879486588,0.3169706981213589,-0.8011611012672472,0.4413412036775154,-0.5675917359590872,0.5703122198969615,0.7068986129408115
NPM1,3.0,0.0,31,4,3.0,0.0,1.5936381457791915,-3.1234733701164075,3.1234733701164075,0.0,1.0,1.0
NSD1,54.0,47.0,84,132,101.0,0.5873021016917517,0.24245153076461767,0.1121058333964961,1.0624983699870072,2.4223484992632596,0.015420554190322365,0.07450630778497899
NTHL1,4.0,2.0,24,13,6.0,-0.008196767204178279,0.8585526325315813,-1.6909290057981292,1.6745354713897727,-0.009547192441782848,0.9923825582720815,0.9985464250936472
PALB2,7.0,10.0,23,67,17.0,0.718654940107158,0.5347330501059431,-0.3294025794437425,1.7667124596580586,1.343950855412389,0.17896427929311987,0.37652224994136907
PBRM1,190.0,39.0,100,26,229.0,0.24033852815272555,0.279735405948275,-0.3079327927065851,0.7886098490120361,0.8591637777777968,0.3902501644444184,0.5853752466666277
PHF6,6.0,1.0,14,8,7.0,0.9322545828631691,1.0035563743894655,-1.0346797673957782,2.899188933122116,0.9289508857241086,0.35291454002072353,0.5636236749641206
PHOX2B,1.0,12.0,23,99,13.0,-0.6771063131856572,0.8940190766489884,-2.4293515049094285,1.0751388785381142,-0.7573734508257076,0.4488261572570934,0.6194852709913399
PIK3R1,120.0,5.0,61,16,125.0,1.7712248667863473,0.5167041321806808,0.7585033770491894,2.783946356523505,3.4279285890575895,0.0006082054232746306,0.00469187040811858
PMS2,14.0,3.0,57,38,17.0,1.0202589744215946,0.6309081813366483,-0.21629833854990155,2.256816287393091,1.6171275069853492,0.10585076038132352,0.2638126643349909
POLD1,19.0,2.0,210,13,21.0,-0.692672233982506,0.7280842802727947,-2.11969120102695,0.7343467330619382,-0.9513627099914577,0.3414202832014711,0.5531008587863832
POLG,8.0,6.0,124,58,14.0,-0.4870149750722721,0.5446277244850436,-1.5544657000449609,0.5804357499004167,-0.8942162750395318,0.3712061860365813,0.5727181155992969
PTCH1,4.0,9.0,180,76,13.0,-1.6056544387706664,0.588300468932995,-2.7587021699673615,-0.45260670757397126,-2.729310146025982,0.006346698235522131,0.039544812082868655
PTEN,251.0,64.0,22,13,315.0,0.8499521419720761,0.37148154412926604,0.12186169455738793,1.5780425893867642,2.2880063771790358,0.02213714974470528,0.09195431432416039
PTPN13,70.0,5.0,182,49,75.0,1.2460871141318965,0.47083335824696737,0.3232706892477957,2.1689035390159974,2.6465565625413556,0.008131590498568441,0.045424746923037496
PTPN6,7.0,2.0,92,5,9.0,-1.7238482636118446,0.8520342281635909,-3.393804664407866,-0.05389186281582359,-2.0232148036203834,0.04305100607517259,0.1394852596835592
PTPRB,51.0,0.0,362,7,51.0,0.756607534477171,1.4681653277989997,-2.120943631359311,3.6341587003136526,0.5153421894327387,0.6063139222466665,0.7330063836116416
PTPRT,41.0,1.0,505,25,42.0,0.33335873283234285,0.85554484268816,-1.343478345995437,2.0101958116601226,0.3896449562888076,0.6967991040780515,0.8074766681255613
RAD21,15.0,4.0,59,11,19.0,-0.4068666500334529,0.6249012687478609,-1.6316506306726457,0.8179173306057398,-0.651089492662909,0.5149887188478267,0.6620182163495049
RAD51C,9.0,1.0,359,11,10.0,-1.5965404512935661,0.928260732482433,-3.4158980552219047,0.22281715263477242,-1.7199267354808419,0.08544576000341929,0.2286182895370987
RASA1,71.0,9.0,66,22,80.0,0.9347190126420328,0.4227661413951662,0.10611260162453895,1.7633254236595266,2.2109599637222037,0.027038609639371592,0.10429178003757614
RB1,245.0,4.0,55,13,249.0,2.5855262151502965,0.564258481610968,1.4795999132215427,3.69145251707905,4.582166328751627,4.601836300200025e-06,6.777249823930946e-05
RBBP6,17.0,31.0,56,126,48.0,0.2182150051130607,0.3383683529425552,-0.44497478016248504,0.8814047903886064,0.6449037069081548,0.5189895893604143,0.6620182163495049
RBM10,83.0,5.0,123,16,88.0,0.7072177644568878,0.5123450559147974,-0.2969600927932754,1.711395621707051,1.380354423825059,0.16747754563365103,0.3617514985686862
RBMX,0.0,6.0,22,92,6.0,-1.1512560221535315,1.486304615178668,-4.064359537959385,1.7618474936523225,-0.7745760932156828,0.4385901884079386,0.6152387364702259
RNF43,39.0,45.0,31,46,84.0,0.24805311271189467,0.3170897124858236,-0.3734313036284803,0.8695375290522697,0.7822805437845436,0.43404971851619567,0.6152387364702259
RPL10,5.0,1.0,10,11,6.0,1.3902547623359878,1.0152238499277262,-0.5995474197684523,3.380056944440428,1.3694071139433535,0.17087205176781117,0.36422726824191326
RPL5,6.0,3.0,9,3,9.0,-0.3794896217049037,0.9113385118436849,-2.1656802826428554,1.4067010392330481,-0.4164090694874472,0.6771106929923494,0.8074766681255613
RUNX1,12.0,10.0,36,76,22.0,0.9143318673888219,0.46444294691264765,0.004040418566384152,1.8246233162112597,1.9686634784030626,0.04899174784633395,0.14974836134162453
SBDS,4.0,1.0,15,22,5.0,1.4712875739532834,0.9989241524588297,-0.4865677881532209,3.4291429360597876,1.4728721598449106,0.14078551024701466,0.31676739805578297
SDHA,16.0,1.0,202,244,17.0,2.5863706951667034,0.8580798205457159,0.9045651510365076,4.268176239296899,3.0141376515786615,0.00257710849794926,0.017395482361157507
SDHAF2,2.0,2.0,6,11,4.0,0.570544858467613,1.0201973708970653,-1.4290052456130864,2.5700949625483127,0.5592494891120232,0.5759914623962168,0.7068986129408115
SDHB,2.0,1.0,12,8,3.0,0.1251631429540061,1.1244170602984447,-2.0786537988333476,2.3289800847413598,0.11131380639207403,0.9113675075278219,0.9457297752973598
SDHC,0.0,6.0,12,15,6.0,-2.349837977844591,1.5160350533145373,-5.321212081641345,0.6215361259521628,-1.5499892121274466,0.12114410530937567,0.28860801558998317
SETD2,61.0,106.0,41,119,167.0,0.508515133797905,0.24106932683798063,0.036027935418147916,0.9810023321776622,2.1094145010811394,0.03490881889031125,0.12123706335328273
SFRP4,4.0,5.0,30,81,9.0,0.7822056411712999,0.6701471688641327,-0.5312586741438821,2.095669956486482,1.1672147216515156,0.24312366715704026,0.44253970875775867
SH2B3,4.0,6.0,29,99,10.0,0.8480426006934556,0.648087133346592,-0.4221848395096721,2.1182700408965833,1.3085317653420054,0.19069300765920016,0.37673496635110276
SMAD2,38.0,25.0,30,11,63.0,-0.5633998591148035,0.4300385090123533,-1.4062598487443194,0.2794601305147124,-1.310114902055479,0.19015696789484227,0.37673496635110276
SMAD4,117.0,21.0,40,9,138.0,0.24837522294459835,0.4300892722729518,-0.5945842608474284,1.091334706736625,0.5774969034497786,0.5636038298411286,0.7068986129408115
SMARCA4,58.0,7.0,256,29,65.0,-0.10861466756950411,0.43384823497356656,-0.9589415828739652,0.741712247734957,-0.25035175624518047,0.802315334750465,0.8822376955131999
SMARCB1,9.0,5.0,41,10,14.0,-0.8277744637051051,0.6375075062249719,-2.077266215779994,0.42171728836978406,-1.2984544583746271,0.19413121605353856,0.37890671085148486
SMARCD1,8.0,5.0,37,8,13.0,-1.048956698222249,0.6661673709601118,-2.354620752979802,0.2567073565353042,-1.5746143446059855,0.11534548974737972,0.2788950647623211
