gene,n_ptc_trig,n_ptc_evad,n_syn_trig,n_syn_evad,log_or,se,ci_lower,ci_upper,z,p_value,category,use_ai_filter
EP300,76,38,80,84,0.7351268494773622,0.2516000818241858,0.24199975059462736,1.228253948360097,2.9218068775949657,0.0034800725229449346,Tumor Suppressors,False
PTPN13,76,24,182,49,-0.1661598801660928,0.2820810064720125,-0.7190284935740472,0.38670873324186167,-0.5890502244169312,0.5558275824768044,Tumor Suppressors,False
EPHA2,29,9,106,54,0.4631541812589975,0.40853366837287225,-0.3375570952238623,1.2638654577418573,1.1336989264646669,0.2569208601146603,Tumor Suppressors,False
RUNX1,12,10,36,76,0.9143318673888221,0.46444294691264765,0.004040418566384374,1.8246233162112597,1.9686634784030632,0.048991747846333866,Tumor Suppressors,False
ARID1A,230,365,85,158,0.1562228006214908,0.15836485596190245,-0.15416661348071126,0.46661221472369285,0.9864739223396448,0.32390060583206615,Tumor Suppressors,False
ZNRF3,31,20,38,112,1.5018576400379613,0.3396902035882469,0.8360770751039187,2.167638204972004,4.421256851605963,9.81284442939955e-06,Tumor Suppressors,False
RBMX,0,11,22,92,-1.7218008806211447,1.4636296584158115,-4.590462297820797,1.1468605365785074,-1.1763910841249077,0.23943863292104117,Tumor Suppressors,False
PTCH1,36,9,180,76,0.48758042504150517,0.38893762970241413,-0.2747233214076025,1.2498841714906128,1.253621115073296,0.20997975271728375,Tumor Suppressors,False
MGA,74,103,94,183,0.33484234567501797,0.19777830114399078,-0.052796001490720945,0.7224806928407569,1.6930186159867906,0.09045192379943755,Tumor Suppressors,False
ELF3,20,8,39,13,-0.19325226381460073,0.5155754807966376,-1.2037616374879327,0.8172571098587312,-0.37482826668948344,0.7077881905791956,Tumor Suppressors,False
MAX,5,11,1,10,1.2083112059245342,1.0152238499277262,-0.7814909761799058,3.1981133880289745,1.1901919030079464,0.23397097490859997,Tumor Suppressors,False
GRIN2A,18,25,140,326,0.5223147398625839,0.3216363866033783,-0.1080809939976386,1.1527104737228064,1.6239292617929748,0.10439090657439333,Tumor Suppressors,False
STK11,58,5,48,12,1.0084435083642036,0.5472940303102436,-0.06423307999764649,2.0811200967260537,1.842599137784399,0.06538755991097031,Tumor Suppressors,False
SETD2,61,156,41,119,0.12360410896717702,0.23476482985839733,-0.33652650239195525,0.5837347203263094,0.5265018147809069,0.5985395914304654,Tumor Suppressors,False
CASP8,34,67,20,20,-0.6711682738411702,0.37598044852219076,-1.40807641183588,0.0657398641535395,-1.7851148283886287,0.07424269322897593,Tumor Suppressors,False
PTPRT,88,1,505,25,1.0906678576095739,0.8480330343426419,-0.5714463474022231,2.752782062621371,1.2861148250610448,0.19840299093176128,Tumor Suppressors,False
KDM6A,149,17,75,33,1.3325082944773146,0.32699785891470146,0.6916042679827898,1.9734123209718393,4.074975594335326,4.601917304955425e-05,Tumor Suppressors,False
BCOR,32,38,62,187,0.9291941367100629,0.27942188546459645,0.38153730470717784,1.4768509687129479,3.3254164582172447,0.0008828655374228793,Tumor Suppressors,False
CDKN1B,0,28,0,16,-0.5465437063680699,2.0237820485181466,-4.51308363402233,3.4199962212861896,-0.2700605565546251,0.7871136662938857,Tumor Suppressors,False
SMARCA4,78,7,256,29,0.18545720298104793,0.4287996354929032,-0.6549746391689454,1.0258890451310412,0.4325031731145614,0.6653757464909282,Tumor Suppressors,False
AXIN2,8,10,46,71,0.21893604343944445,0.49837390019113625,-0.7578588517699423,1.195730938648831,0.4393007807099813,0.6604436085808664,Tumor Suppressors,False
ATRX,71,83,117,89,-0.42734889046025176,0.21364897506334976,-0.8460931869183135,-0.008604594002190102,-2.0002384300394476,0.04547452389772784,Tumor Suppressors,False
