gene,n_observations,NMDetective-AI,NMDetective-A,NMDetective-B,Global logistic,Clustered logistic,NMDetective-AI-SP
DSP,82,0.5994801349380406,0.5165507184923939,0.5280582805608077,0.8018219305031056,0.8149776585345859,0.761662256622742
MUTYH,82,0.6442921096219347,0.6002818213817311,0.37954584397133395,0.6322560684973032,0.6531069262163753,0.710253073203154
ASXL2,70,0.7120343195548327,0.6893024008587053,0.5616058384643063,0.7724388981880734,0.7754614777763705,0.73780627800522
RNF43,82,0.6783521786906295,0.7925822040372228,0.850099002293709,0.6772844034673109,0.8311836115290852,0.7810267415739811
STAG2,67,0.45296350601491864,-0.4122092564012725,-0.43799530448146684,0.48355770536601217,0.4737086913280152,0.4338541282001161
KDR,68,0.1402538793329675,0.31226061483040707,0.2882260751003435,0.2769591520501925,0.23208190741043308,0.2778755579376151
CFTR,83,0.7061382424561188,0.26977704099119837,-0.3588448761654891,0.6865462376414929,0.7250366461234017,0.7138280704115253
EXT1,83,0.5525632356479943,0.02788019186814861,0.5072996240038582,0.7782175250756508,0.8185526195040249,0.8070533332619583
DYRK1A,82,0.789656541082907,0.7216836734978779,0.8315689166641553,0.828544969656956,0.8825525261770538,0.8104216593647573
CEP290,50,0.6896481982062279,0.5074134027325378,0.4787181378224156,0.7398923397867746,0.754259237040504,0.6429006750580716
ANKRD11,83,0.7707541671526992,0.7177541022420632,0.6656213002220145,0.7640595116336435,0.7785080864231567,0.6999591681538496
VHL,60,-0.11752354667191786,-0.05569257984328521,-0.09560682947748035,-0.09966222790325831,-0.11046414250957658,-0.058261177558017
NOTCH2,83,0.8490922383286195,0.7478512641251337,0.645753151001792,0.9058497004718788,0.9176691594286365,0.9395192272482
CAPN3,69,0.7714695616263902,0.692213752654124,0.6496619819733116,0.8832700172813567,0.8810406466006263,0.8255488923779544
NOTCH1,81,0.7801591379004771,0.5261913922373931,0.4632273492195129,0.7246101291184432,0.7419808101377446,0.8298541324309006
LAMA2,82,0.7737846207493696,0.7887514992148106,0.75067200656672,0.8221206177633612,0.8486764403474105,0.7300653213195538
BMPR1A,73,0.741234646911859,0.7137427315942457,0.6749394818999884,0.7081020801516013,0.7270217798390438,0.739995394703355
MYBPC3,83,0.717341002832536,0.6331101230338871,0.5977440468535997,0.8078074256540495,0.8028781354569311,0.7957622754280594
EPHA5,53,-0.0844359283766154,-0.23636034389218663,-0.146235821819474,0.0625114302531958,0.09206696749108514,-0.1282239777567498
FBN1,82,0.8339995799327662,0.7159331239995246,0.7372595710376765,0.8567299792340024,0.8511909878534166,0.8196163090674469
BCOR,83,-0.6879171657475841,0.6645041591437268,0.5979628858156112,0.8557696538536563,0.8657045184187749,0.8415949350691393
CHD2,82,0.6759131799289729,0.6574728551455175,0.5015356757265425,0.7272458160004582,0.7427449526174978,0.7353574714718462
VPS13B,76,0.278638836615355,0.2229255175608173,0.3415040084712393,0.2500620015981713,0.22572884275651972,0.2242572359857001
DYSF,82,0.8620851305630165,0.764225686568847,0.6862550018726878,0.8904514157690633,0.8912908302528687,0.8791056163366062
MTOR,80,0.7762026060074698,0.7640500131575279,0.6705944856324026,0.7665451221501692,0.7535855969109622,0.7828409290023985
DMD,64,0.7238303690899828,0.6468965019941209,0.5428240682549644,0.7020560362591715,0.6642469856111946,0.7102443390266089
PHEX,83,0.8962475061664505,0.7409038927834246,0.7389115518433461,0.9117596680409791,0.9075934510144253,0.923696684375602
ZFHX3,82,0.556957113407177,-0.7076005825228415,0.6822397793191399,0.9154353138627077,0.9193426724383168,0.932836958572318
AR,83,0.4991747837259299,0.49574476012132496,0.7641369677833036,0.716196486591942,0.7759151339719013,0.7219539100316127
KMT2D,83,0.8092326594463262,0.7607503398048241,0.694002363031448,0.7939024474783634,0.8044824541676734,0.7338485195575336
ENG,83,0.758221911051736,0.6500456935217851,0.5867809347669846,0.8681250813305276,0.8725224175611137,0.8501267416164628
PALB2,60,-0.28351087366464084,-0.1489537654130359,-0.47681790767188365,0.5174681470146255,0.5108711357757303,0.5388716014709809
CASP8,78,0.85333476895674,0.8106785899135851,0.7898125291499218,0.6842258684452044,0.8185558513741523,0.7625803008944034
SACS,83,0.9340266972323535,-0.34582030942987163,,0.9153339331378275,0.9115565133492554,0.9003782448761457
SCN1A,79,0.7034518459398004,0.5064059253208217,0.5803955232542303,0.687309194790366,0.670135748674168,0.6813556137878358
MMACHC,83,0.7730849893172571,0.8509886420034705,0.7260182547082472,0.9243973729020684,0.919881218595762,0.9185983821949132
PMS2,70,0.6464876706547084,0.5788530397569358,0.5601883313519788,0.6369165183787089,0.6056187138661283,0.6554212559451899
TP53,83,0.9247453846607928,0.8494349440958412,0.735732407076391,0.9406169800001748,0.9375372249278223,0.8785700124186379
STK11,82,0.856965614411125,-0.2285209341889575,,0.721701507370423,0.8494051203413067,0.8506214558711664
RBM10,83,0.6773073272491814,0.5976373602959897,0.48432605611275703,0.7347081460231467,0.7456007719723269,0.6978949495453523
NSD1,81,0.08133764604233322,-0.012227363980433704,0.09058507867698946,-0.025983252639242005,-0.07619721783617697,-0.0311979006405341
ATP7A,81,0.799468958170478,0.35896594705801177,0.745708870973702,0.7952761375610454,0.7791934394729306,0.7932057783547933
EPHA3,83,0.7597762584103551,0.4099859005204595,0.6014402004861514,0.8515466066506845,0.8450277082352246,0.8460892137180933
BRCA1,82,0.8196226527616957,0.8196739055541702,0.7814609551658077,0.8222871724594509,0.8172828133372633,0.7783174795700358
ARID2,80,0.8434779964053696,0.8557788103298809,0.7707335946352218,0.9134886198213181,0.9084131082338927,0.9219706136233708
NEB,69,0.5098776089989656,0.5787245367570447,0.443402366523287,0.6161475663704106,0.663033964146275,0.6742755318191018
PKP2,83,0.8767253799084609,0.8119599579237918,0.7939522440155209,0.939334273262471,0.9296007998658242,0.8696162451782464
TSC2,65,0.7629923492129553,0.6312673486295336,0.5810708440553973,0.7707902635389698,0.7816132594980613,0.7740891067454931
MAP3K13,79,0.8581273898463112,-0.5818666642283147,-0.4557939079133506,0.8262848202172746,0.8176795261979564,0.8198107440236295
ITGA2B,83,0.8717894834670056,-0.024606940531134956,-0.5964505778653635,0.8179616846514863,0.8327262298271088,0.8172378344768834
TSC1,81,0.8062051962743022,0.7424999389723176,0.6448178901999149,0.8780080089866253,0.8807113636523222,0.8824061172906089
EP300,78,0.7825870458510237,0.4383194094785429,0.6630739855540523,0.8819820407442541,0.8821721220958689,0.9029353971932274
NF2,83,0.8795278658733814,0.8479169730311349,0.8674126709012041,0.7631919585213127,0.8921522322621752,0.811483128584036
PTPRT,83,0.6709005421124254,0.640680078748986,0.5911114749402359,0.8363174983137367,0.8439491994491313,0.8774223442901312
CHM,72,0.45992772946958244,0.4318995948009605,0.3439155225625621,0.4974144820736577,0.5305609904047404,0.524130016767291
MSH2,82,0.8755741132970036,0.7819136851827577,0.7604898536001737,0.8597214140955247,0.8505297604024129,0.8986513475320882
CTNNB1,79,0.8551009671988224,-0.7570486065123468,,0.8763966159044542,0.878915572814892,0.8832433242094525
CREBBP,80,0.8100245187725734,0.5836821212763487,0.5733422201556435,0.8388674036078809,0.8475894069497748,0.8568634692637402
RUNX1,74,0.49051350946214484,0.427610016969879,0.2246825452916808,0.5441615040175467,0.5735537140112836,0.523284501583022
JAK2,79,0.7903113360837722,0.7329559841477151,0.6389055253542213,0.841523095906568,0.8475809955087499,0.8591430470128385
ALK,66,0.04434710802447847,0.5539754500627088,0.4075706065511277,0.5309056898408486,0.4903318244668282,0.6205785033167179
GAA,83,0.7090968445437109,0.774003487459091,0.7886016247000451,0.9146668285402083,0.9030696572109765,0.9167528094360776
GRIN2A,83,0.7950819459853847,0.6230870831499322,0.5617188901927007,0.893536169694145,0.9003766315995879,0.887711251883789
CDH1,83,0.8229889054291345,0.8199916992422172,0.7251854025765175,0.9260831440312655,0.9248081345556243,0.9223733654869009
ABCA4,80,0.6645157818818949,0.3778487025310194,0.48777495912453883,0.8189222983756241,0.8392943495999821,0.7906428754568461
FAT1,82,-0.3340317172034788,-0.6424985366937436,0.6253887564785326,0.773134981893843,0.776755320394226,0.8206940771104684
LDLR,83,0.808310264284603,0.6066847999167727,0.45985371650575846,0.7800916335166471,0.7988502889619813,0.8269762074852748
PBRM1,66,0.6822340960389489,0.4788445097781212,0.4854321413499028,0.7679238674120643,0.7829075158733836,0.7057439257922219
SPEN,76,0.6890560788584502,0.668399838475966,0.5347178388578264,0.7477353553420568,0.7327232623714209,0.751590850746736
